complaint_text,Category_of_review,Category_of_review_1
"""The advertised 'easy assembly' of this furniture was anything but. The instructions were unclear, and it took hours to put together. Misleading claims about the product's simplicity.""",Fake advertisement,Fake advertisement
"""I bought this camera because the ad showcased its 'crystal-clear images,' but the picture quality is grainy and blurry, even in optimal lighting conditions. Disappointed with the misleading marketing.""",Fake advertisement,Fake advertisement
"""The ad for this skincare product claimed it would 'banish acne overnight,' but after weeks of use, my skin is still breaking out. False promises about its effectiveness.""",Fake advertisement,Fake advertisement
"""I ordered this set of cookware because the ad emphasized its 'non-stick surface,' but everything I've cooked has stuck to the pans like glue. False advertising about its performance.""",Fake advertisement,Fake advertisement
"""The ad for this smartphone boasted about its 'long-lasting battery life,' but it drains within hours of use, even with minimal usage. Disappointed with the inaccurate claims made in the advertisement.""",Fake advertisement,Fake advertisement
"""I ordered a set of headphones, but they arrived damaged with visible cracks. Customer service was unresponsive, and I had to fight for a refund. Terrible experience, will not shop here again.""",Fake advertisement,Fake advertisement
"""The dress I received looked nothing like the photo online. The color was off, and the fabric was cheap and itchy. Extremely disappointed with the misleading representation.""",Fake advertisement,Fake advertisement
"""The shoes I ordered were two sizes smaller than what I selected. Despite multiple attempts to contact customer service, I received no response. Waste of money and time.""",Fake advertisement,Fake advertisement
"""This company charged me for expedited shipping, but my order arrived weeks later. When I reached out for an explanation, they blamed the shipping carrier. Unacceptable service and communication.""",Fake advertisement,Fake advertisement
"""The product description claimed this vacuum cleaner had 'powerful suction,' but it barely picks up dirt and debris. It's no better than a cheap vacuum from a discount store.""",Fake advertisement,Fake advertisement
"""The advertised 'stain-resistant' feature of this tablecloth proved false when it was stained irreversibly after one use. False advertising and poor quality.""",Fake advertisement,Fake advertisement
"""I received a used item instead of the new one I ordered. The packaging was damaged, and it was clear that the product had been previously opened and used. Unacceptable.""",Fake advertisement,Fake advertisement
"The product I received was significantly different from what was pictured online. It was smaller, flimsier, and lacked the promised features. Misleading representation and poor quality.""",Fake advertisement,Fake advertisement
"""I ordered a set of kitchen knives, but they arrived with dull blades and loose handles. Despite the product description boasting about their sharpness and durability, they're practically unusable.""",Fake advertisement,Fake advertisement
"""The clothing I purchased was advertised as 'one size fits all,' but it was too small for me. The sizing was completely off, and the material was cheap and uncomfortable. Disappointed with the lack of accuracy.""",Fake advertisement,Fake advertisement
"""I bought a laptop bag that claimed to be 'waterproof,' but it soaked through during a light rain shower, damaging my laptop. False advertising and poor quality construction.""",Fake advertisement,Fake advertisement
"""The customer service I received was appalling. I contacted them multiple times about a missing item from my order, but each time I was met with excuses and delays. Complete disregard for customer satisfaction.""",Fake advertisement,Fake advertisement
"""The product I received was missing parts and had scratches all over it. It's clear that it was either used or poorly handled before shipping. Unacceptable quality control and lack of attention to detail.""",Fake advertisement,Fake advertisement
"""I ordered a set of wireless headphones, but they constantly disconnect from my devices and have poor sound quality. Despite claims of 'seamless connectivity' and 'crisp sound,' they're a disappointment.""",Fake advertisement,Fake advertisement
"""The advertised 'lifetime warranty' on this product is meaningless. When I tried to return it due to a defect, I was told that the warranty doesn't cover the issue. False promises and misleading warranty terms.""",Fake advertisement,Fake advertisement
"""The item I received was a knock-off counterfeit version of the product advertised. It's clear that it's not authentic, and I feel cheated out of my money. Deceptive marketing and unethical business practices.""",Fake advertisement,Fake advertisement
"""I ordered a set of furniture that arrived with missing hardware and damaged pieces. Assembly was impossible, and the seller refused to provide replacements or a refund. Terrible quality control and customer service.""",Fake advertisement,Fake advertisement
"This company's return policy is a nightmare to navigate. I tried to return a defective item within the specified timeframe, but I was met with bureaucratic hoops and delays. Frustrating and disappointing experience.""",Fake advertisement,Fake advertisement
"""The product I received was a different model than what I ordered. It's clear that there was a mix-up in the warehouse, and now I'm stuck with something I didn't want. Frustrating and inconvenient.""",Fake advertisement,Fake advertisement
"""I ordered a children's toy that was advertised as 'safe and non-toxic,' but it arrived with sharp edges and small parts that pose a choking hazard. Concerned for the safety of my child.""",Fake advertisement,Fake advertisement
"The advertised 'limited-time offer' turned out to be a marketing gimmick. The price was inflated before the sale, making the discount seem more significant than it actually was. Misleading pricing tactics.""",Fake advertisement,Fake advertisement
"""I ordered a set of glassware, but they arrived chipped and scratched. It's clear that they were mishandled during shipping, and the lack of protective packaging is unacceptable.""",Fake advertisement,Fake advertisement
"""The website's search function is unreliable and often returns irrelevant results. It's frustrating trying to find what I need among the clutter of unrelated products.""",Fake advertisement,Fake advertisement
"""I ordered a set of organic skincare products, but the ingredients listed on the packaging didn't match what was advertised online. Concerned about false claims and potential harm to my skin.""",Fake advertisement,Fake advertisement
"""The advertised 'easy-to-use' software was anything but. It was buggy, crashed frequently, and was impossible to navigate. Waste of money and time.""",Fake advertisement,Fake advertisement
"""The product I received was poorly packaged and arrived damaged. It's clear that no care was taken in the handling and shipping process. Disappointed with the lack of attention to detail.""",Fake advertisement,Fake advertisement
"""I ordered a set of LED bulbs advertised to last for thousands of hours, but they burned out after just a few days of use. False claims about longevity and durability.""",Fake advertisement,Fake advertisement
"""I ordered a set of curtains advertised as blackout, but they let in a significant amount of light. It's misleading to claim they offer complete darkness when they clearly don't.""",Fake advertisement,Fake advertisement
"""The advertised 'lifetime warranty' turned out to have so many exclusions and loopholes that it's practically worthless. False promises and deceptive marketing tactics.""",Fake advertisement,Fake advertisement
"""The product I received was missing essential components, rendering it unusable. It's frustrating to receive an incomplete item and then have to deal with the hassle of returning it.""",Fake advertisement,Fake advertisement
"""The website's checkout process is glitchy and often crashes, making it difficult to complete my purchase. It's frustrating to have to start over multiple times.""",Fake advertisement,Fake advertisement
"""I ordered a set of bath towels that were advertised as 'plush and absorbent,' but they're thin and scratchy. Not at all what was promised in the product description.""",Fake advertisement,Fake advertisement
"""The advertised 'easy assembly' of this furniture was a nightmare. The instructions were unclear, and it took hours to put together. False advertising about its simplicity.""",Fake advertisement,Fake advertisement
"""The product I received was a cheap knock-off version of what was advertised. It's clear that it's not authentic, and I feel cheated out of my money.""",Fake advertisement,Fake advertisement
"""I ordered a set of outdoor lights that were advertised as weatherproof, but they stopped working after the first rainstorm. False claims about their durability.""",Fake advertisement,Fake advertisement
"""The product I received had a different design than what was pictured online. It's frustrating to receive something that doesn't match my expectations.""",Fake advertisement,Fake advertisement
"""The website's return policy is overly restrictive and convoluted. It's frustrating to jump through hoops just to return a defective item.""",Fake advertisement,Fake advertisement
"""The product I received was damaged during shipping due to inadequate packaging. It's disappointing that more care wasn't taken to ensure it arrived safely.""",Fake advertisement,Fake advertisement
"""The product I received had a different color than what was pictured online. It's frustrating to receive something that doesn't match my expectations.""",Fake advertisement,Fake advertisement
"The website's search function is unreliable and often returns irrelevant results. It's frustrating trying to find what I need among the clutter of unrelated products.""",Fake advertisement,Fake advertisement
"""I'm somewhat disappointed with the quality of this product. While it looks good in pictures, it feels cheap and flimsy in person. I'm concerned about its longevity, as it already shows signs of wear after minimal use. I expected better quality for the price.""",Product quality,Product quality
"""This robotic mop stopped working after just a few weeks of use. The motor burned out, and it no longer holds a charge.""",Product quality,Product quality
"""Extremely disappointed with this robotic mop. It constantly gets stuck and leaves streaks all over the floor.""",Product quality,Product quality
"""This washing machine broke down within a year. The drum stopped spinning, and now it's completely unusable.""",Product quality,Product quality
"""Avoid this washing machine at all costs. It's loud, shakes violently during the spin cycle, and doesn't clean clothes properly.""",Product quality,Product quality
"""This watch stopped ticking after a month. The craftsmanship is poor, and it's definitely not worth the price.""",Product quality,Product quality
"""Regret buying this robotic mop. It's supposed to be self-navigating, but it constantly gets stuck under furniture.""",Product quality,Product quality
"""Poor quality robotic mop. It leaves streaks all over the floor and misses spots even after multiple passes.""",Product quality,Product quality
"""This washing machine broke down within the first month of use. The repair costs are more than the machine itself!""",Product quality,Product quality
"""Extremely disappointed with this washing machine. It's noisy, shakes violently, and now it won't drain properly.""",Product quality,Product quality
"""Avoid this washing machine. The door latch broke after just a few uses, and now it won't close properly.""",Product quality,Product quality
". ""Bought a sweater online, and it arrived with holes in the fabric. Clearly, it wasn't inspected before shipping.""",Product quality,Product quality
"""Avoid buying this shirt. The fabric shrunk significantly after washing, and now it doesn't fit properly.""",Product quality,Product quality
"""The robotic mop's sensors malfunctioned frequently, causing it to bump into walls and furniture repeatedly. It left streaks of dirty water behind, making the floors even dirtier than before.""",Product quality,Product quality
"""This washing machine's drum started making loud banging noises during the spin cycle within weeks of purchase. The water inlet valve leaked, causing flooding in the laundry room.""",Product quality,Product quality
"""The watch's hands became misaligned after just a few days of wear, making it impossible to tell the time accurately. The strap's clasp was flimsy and constantly came undone, posing a risk of losing the watch.""",Product quality,Product quality
"""The shirt's fabric tore easily, even with gentle washing. The seams were poorly stitched and unraveled after just a few wears.""",Product quality,Product quality
"""Despite claims of being suitable for all floor types, this robotic mop left scratches on my hardwood floors. The battery life was abysmal, barely lasting through a single cleaning session.""",Product quality,Product quality
"""The washing machine's control panel malfunctioned after a month of use, making it impossible to select specific wash cycles. The spin cycle was so rough that it damaged delicate clothes.""",Product quality,Product quality
"""The watch's timekeeping was inconsistent, losing several minutes each day. The wristband broke within a week, rendering the watch unwearable.""",Product quality,Product quality
"These jeans ripped along the seams after only a few wears, suggesting weak stitching. The fabric stretched out of shape after washing, losing its original fit.""",Product quality,Product quality
"""The watch's glass face scratched easily, despite claims of scratch resistance. The battery life was shorter than advertised, requiring frequent replacements.""",Product quality,Product quality
"""The washing machine's door seal began to deteriorate after a few months, causing water to leak during every cycle. The detergent dispenser clogged frequently, resulting in poorly washed clothes.""",Product quality,Product quality
"""Despite regular maintenance, this robotic mop's brushes became tangled and ineffective within weeks. It struggled to clean edges and corners, leaving behind noticeable dirt and debris.""",Product quality,Product quality
"This sweater developed holes along the seams after just a few wears, despite being hand-washed. The fabric faded noticeably after the first wash, losing its original color.""",Product quality,Product quality
